72639,82389917,19783,297920,254856,470336
71709,79150272,18601,246144,244807,470336
69947,75738713,17857,202176,234579,470336
68799,72649248,17508,169280,224757,470272
65579,69323706,17445,143296,213585,469312
64175,66735308,17700,122688,204679,469120
63224,64515315,18032,107392,196630,469056
62017,62040565,18646,96000,188269,468864
61405,59970667,19448,85888,180396,467520
60370,57641080,20256,76992,171626,467008
59482,55543798,21209,70080,164448,466560
58909,54164785,22152,65856,158425,465984
58023,52607191,23415,61824,151786,464320
57030,51166113,24736,58176,145845,463552
56626,49404430,26136,54976,139050,462912
55817,48319315,27700,51968,133487,462080
55328,47199485,29308,49792,128357,459712
54784,46356021,31247,48064,123240,458240
54272,45531956,33412,47040,118666,457088
53667,44597478,35551,46272,113325,455360
53134,44016444,37937,46016,108778,452416
52820,43516096,40267,45952,105020,450496
52501,43469509,42979,51264,101565,448128
52319,43058241,45618,51264,98365,445504
51913,42583103,48439,57024,93858,441600
51598,42517875,51533,57088,90770,439040
51395,42820666,54656,62016,88370,435968
51372,43213189,58012,66944,86199,433472
51217,43449039,61492,70208,83558,428544
51164,43722250,65102,76416,80548,426048
51052,44347393,69090,76480,78626,422784
51237,45085013,73030,82560,77489,419264
51219,45871104,77238,88768,75724,413440
51358,46737359,81624,89856,74484,410240
51467,47592976,86208,95744,72664,406848
51459,48876277,91330,101440,71475,403840
51723,50204668,96366,108352,70831,397376
51910,51469768,101696,112768,70303,394048
52288,52973518,106701,120128,70221,390848
52624,54594704,112388,127104,69533,387520
52938,56083760,118091,132416,69102,381056
53227,58062966,123997,140224,69591,377408
53798,59858895,130159,146688,70118,374144
54276,62134155,136322,153344,70804,371264
54852,63846563,142639,160576,70666,362176
55163,65976120,149133,166464,71412,359104
55690,68437756,155787,173056,72745,355008
56602,71027718,162685,180544,74321,352064
57030,73382763,169539,191232,75356,344832
57801,75814197,176694,196928,76371,341824
58361,78522882,183710,208000,78203,338432
59339,81250942,190708,213120,80315,334976
59946,84044696,198144,220800,82187,328000
60838,86881452,205573,231872,84241,324864
61558,89556053,212948,238464,86055,322624
62523,92647370,220476,247424,88561,320448
63230,95656221,227789,257024,91281,313472
64121,98708530,235000,264000,93960,311040
65104,101692106,242376,270784,96789,309376
66382,104601111,249385,281600,99525,306240
67038,107727484,256312,288000,102682,300416
69889,110549039,263134,294912,106072,298432
70759,113583174,269341,306240,109643,296512
71436,116706451,275630,313152,113435,294848
72323,119308126,280922,321280,116868,289728
73194,122053609,285971,328128,120840,288448
74110,124736317,290599,328256,125107,287168
76928,127334675,294229,333184,129256,285504
78044,129435109,297649,339712,133325,281856
79038,131730793,300753,346496,137556,280448
78910,133814485,303391,346816,142031,280000
80096,135915216,305544,353600,146593,279360
80799,137386435,306677,354112,150730,276928
81421,138978686,307875,354112,155030,276352
82193,140530624,308515,354368,159492,275968
83070,141694296,308326,355136,164185,275712
83438,142889253,307698,355776,168424,272768
84007,143724225,306822,355712,172153,272320
84710,144385060,305183,355712,176069,271808
85073,145054008,303323,355968,180119,271488
85515,145485210,301051,356992,183543,269824
86256,145523715,298148,357120,186939,269248
86841,145669090,294734,357120,190394,268672
86966,145332023,291108,357120,193768,268352
