7556044,361209,3230464,924631,1021620
7260859,311982,3207872,903559,1021620
6956361,268949,3170432,878502,1021620
6667887,231444,3112320,853365,1021620
6403951,199295,3024256,829438,1021620
6150199,171320,2908288,805177,1021620
5903561,147590,2761600,780113,1021620
5648197,127585,2589632,752206,1021560
5408033,110437,2387776,725246,1021560
5190573,95971,2160832,700380,1021560
4985403,83973,1926592,676212,1021560
4786037,74598,1688640,651749,1021560
4587778,67006,1458816,626680,1021560
4398468,61172,1247936,602136,1021560
4232589,56895,1049536,580272,1021560
4073880,53762,872768,558942,1021500
3911877,51869,723840,536610,1021440
3752567,50771,592384,514322,1021380
3608487,50601,483520,493812,1021380
3482398,50898,393024,475672,1021320
3361398,51958,321088,457932,1021260
3237769,53782,265728,439489,1021140
3120115,55738,221248,421843,1021080
3011066,57991,189312,405299,1020840
2918105,60912,164032,390767,1020540
2829729,64155,145536,376752,1020120
2739093,67928,130752,362187,1020000
2646602,71960,121792,347246,1018920
2566532,76119,115520,334025,1018320
2501689,80610,110208,322837,1017180
2442874,85701,107648,312253,1016340
2383194,91073,106624,301425,1014780
2324004,96690,115008,290562,1013940
2263967,102461,115008,279512,1012440
2224191,108562,148160,271215,1011300
2193486,115344,147776,263922,1009200
2159018,122211,147392,256055,1007280
2118808,129474,147264,247198,1004220
2089512,137015,190208,239781,1000380
2074820,144916,189760,234296,997080
2067761,153385,189312,229658,994500
2053477,161954,189184,223945,989880
2040381,171227,195904,218100,986040
2035611,180452,235904,213465,980820
2043076,190204,235392,210352,975420
2051115,200299,235008,207174,969240
2061469,210601,234944,204238,962760
2072824,221624,281600,201136,957360
2089877,232731,281024,198812,950580
2117836,244657,280704,197695,943440
2148011,256533,323648,196916,935940
2180017,268569,322624,196330,930540
2214706,281630,322240,195688,922860
2249422,295169,363264,194845,913860
2297250,308860,362688,195810,905040
2348531,322449,362432,197312,898260
2398332,336457,399680,198423,888780
2448341,350826,399360,199409,878640
2505354,365642,437056,201204,868680
2570555,380623,436288,204098,858960
2640127,396046,478080,207427,849540
2706479,411056,477696,210473,838920
2779434,426419,477632,214311,830220
2852178,441602,516032,218196,822180
2930532,456758,515904,222894,813300
3010401,471880,560320,227823,805020
